iter	Logloss
126	0.4231268001
127	0.421570866
128	0.4202711062
129	0.4192841269
130	0.417772129
131	0.4165819537
132	0.4148301006
133	0.4137024878
134	0.4128573911
135	0.4118567877
136	0.4103783497
137	0.4093082156
138	0.4081498022
139	0.4066026463
140	0.4053195722
141	0.4040665227
142	0.4029697686
143	0.4014666925
144	0.400115132
145	0.3992933373
146	0.3979531318
147	0.3967533197
148	0.3955050366
149	0.3942947365
150	0.3934068769
151	0.3923162956
152	0.3913358986
153	0.3903828841
154	0.3892283006
155	0.3881929503
156	0.3871100601
157	0.3862898533
158	0.3848457743
159	0.3841556433
160	0.383421749
161	0.3823500257
162	0.3812883657
163	0.3806206163
164	0.3795158666
165	0.3786658896
166	0.3778182129
167	0.3770625595
168	0.3763565092
169	0.3751803043
170	0.3740295758
171	0.3733741375
172	0.3723894767
173	0.3715195327
174	0.370835984
175	0.3697831588
176	0.3688673369
177	0.3682437881
178	0.3672900582
179	0.3664850527
180	0.3654326983
181	0.3645516742
182	0.3638387593
183	0.3630865594
184	0.3620150921
185	0.3611196537
186	0.3602856454
187	0.3592390649
188	0.3585422462
189	0.3577301788
190	0.3567922854
191	0.3560120829
192	0.3552108249
193	0.3543123793
194	0.3537158058
195	0.3530273074
196	0.3521297839
197	0.3512157202
198	0.3503027581
199	0.3495666529
200	0.3490093745
201	0.3480042178
202	0.347253031
203	0.3465618877
204	0.345858488
205	0.3453144
206	0.3445060821
207	0.3436052933
208	0.3430016459
209	0.3423759178
210	0.3414393006
211	0.3408329998
212	0.3401110597
213	0.339636563
214	0.338879688
215	0.3384729508
216	0.3379680923
217	0.3375312272
218	0.3367521495
219	0.3360473333
220	0.3354243906
221	0.3347137934
222	0.3341100937
223	0.3332262373
224	0.3322033534
225	0.331590784
226	0.3308936695
227	0.3300938568
228	0.3293362822
229	0.3286185422
230	0.3274576902
231	0.3267100313
232	0.3260120901
233	0.3255225119
234	0.3249542299
235	0.3241966098
236	0.323543997
237	0.3229224197
238	0.3220504883
239	0.3214299535
240	0.3207411069
241	0.3201138581
242	0.3194640949
243	0.3187375179
244	0.3181320814
245	0.3174277101
246	0.3168843498
247	0.3159497485
248	0.3151185676
249	0.3146635581
250	0.3140899347
251	0.3134159751
252	0.3127466202
253	0.3120966284
254	0.3115618411
255	0.3109441977
256	0.3102420919
257	0.3097949611
258	0.3091454357
259	0.3087489098
260	0.307893951
261	0.3072384577
262	0.3068103994
263	0.3060863361
264	0.3053404818
265	0.3048147727
266	0.3045339424
267	0.3039594709
268	0.3032064917
269	0.302586456
270	0.3021523191
271	0.3015638663
272	0.3011618725
273	0.3007470123
274	0.3001111259
275	0.2993310974
276	0.2990389964
277	0.2984221907
278	0.2975616667
279	0.2973405918
280	0.2969095694
281	0.296297654
282	0.2957862935
283	0.2950051987
284	0.2944930712
285	0.2939722583
286	0.2934577732
287	0.2931881172
288	0.2926297431
289	0.2919541486
290	0.2914359997
291	0.2906416863
292	0.2899206819
293	0.28933765
294	0.2888251535
295	0.2883814572
296	0.2876675637
297	0.2871438249
298	0.2865117626
299	0.2862923103
300	0.2856425651
301	0.2851887302
302	0.2846087169
303	0.2843631936
304	0.2837365369
305	0.2831456225
306	0.2825362052
307	0.2820136813
308	0.2816048766
309	0.2811830057
310	0.2808513207
311	0.2803590686
312	0.2800326761
313	0.279513756
314	0.2790042841
315	0.2785702192
316	0.2780838314
317	0.2773628615
318	0.2767883612
319	0.2763131253
320	0.2758697778
321	0.2753058619
322	0.2745764365
323	0.2740697706
324	0.2737905323
325	0.2736512506
326	0.2730546628
327	0.2726126144
328	0.2719279153
329	0.2715226705
330	0.2711211562
331	0.2707249582
332	0.2703380007
333	0.2698949208
334	0.2694776653
335	0.2690240986
336	0.268558942
337	0.2683185413
338	0.268064726
339	0.2677937752
340	0.2672726053
341	0.2668698804
342	0.266634772
343	0.2662324064
344	0.2656868545
345	0.2651475732
346	0.2647010784
347	0.2642071936
348	0.2638254303
349	0.2634804924
350	0.2631564369
351	0.2627247582
352	0.2625486586
353	0.2621166687
354	0.2615103626
355	0.2611381521
356	0.2606273652
357	0.2602051289
358	0.2597234028
359	0.2594818367
360	0.2591295102
361	0.2586914783
362	0.2582700036
363	0.257932445
364	0.2575119534
365	0.2571275855
366	0.2565942671
367	0.2559761858
368	0.2556571895
369	0.2552690636
370	0.2549553483
371	0.2546364943
372	0.2541946352
373	0.2536514626
374	0.2532031236
375	0.2527391043
376	0.2523959068
377	0.252064984
378	0.251605578
379	0.251289834
380	0.2508578669
381	0.2504926779
382	0.2500898403
383	0.2498780965
384	0.2496046861
385	0.2492272353
386	0.2487690996
387	0.2485726792
388	0.2482520355
389	0.2478366121
390	0.2474795023
391	0.247212074
392	0.246756054
393	0.2462616912
394	0.2458310929
395	0.245498396
396	0.245122507
397	0.2448835951
398	0.2445427744
399	0.2440875103
400	0.2436535198
401	0.2434577744
402	0.243010557
403	0.2424859941
404	0.2420048782
405	0.241663406
406	0.2412428629
407	0.2408209784
408	0.2403603303
409	0.2398083594
410	0.2395201922
411	0.2391034508
412	0.2386857178
413	0.23824487
414	0.2378268634
415	0.2373253891
416	0.236881369
417	0.2366481526
418	0.2364057527
419	0.2360367473
420	0.2357512157
421	0.2353770487
422	0.2350349039
423	0.234786981
424	0.2344391697
425	0.2341659215
426	0.2338187215
427	0.233620935
428	0.2332703643
429	0.2329744852
430	0.2326766111
431	0.2323169274
432	0.2320133889
433	0.2315970086
434	0.2313734649
435	0.2311520328
436	0.230797242
437	0.2304747464
438	0.2300319244
439	0.2295665079
440	0.229274686
441	0.2289998541
442	0.22862026
443	0.2283305297
444	0.2280313453
445	0.2277391911
446	0.2274818958
447	0.2270835781
448	0.2268115398
449	0.2264194843
450	0.2259878823
451	0.2257474276
452	0.2257273168
453	0.2254046118
454	0.2252813797
455	0.2250128545
456	0.2246663931
457	0.2242885459
458	0.2239601545
459	0.2237240125
460	0.2233566133
461	0.2230949276
462	0.2227854318
463	0.2224667273
464	0.2222318299
465	0.2218504342
466	0.2213635019
467	0.2211238361
468	0.2206507295
469	0.2202866031
470	0.2198464406
471	0.2195656452
472	0.2192037758
473	0.2187206703
474	0.2181835324
475	0.2179071994
476	0.2176127354
477	0.2173733045
478	0.2170493295
479	0.2164897684
480	0.2161060489
481	0.215652488
482	0.2153919571
483	0.215100289
484	0.2146938659
485	0.2146081564
486	0.2142456697
487	0.2139119039
488	0.2136185672
489	0.2133107329
490	0.213289669
491	0.2130267291
492	0.2127664603
493	0.2126228173
494	0.2124025238
495	0.2121759075
496	0.2117342542
497	0.2114286204
498	0.2111427896
499	0.2109075766
500	0.2105624807
501	0.2103026472
502	0.2101027778
503	0.2099516557
504	0.2097239832
505	0.209497246
506	0.2093456107
507	0.2091022677
508	0.2087997511
509	0.2086301382
510	0.2083184152
511	0.2080483754
512	0.2076466142
513	0.2075737382
514	0.2073594363
515	0.2070605416
516	0.2068102071
517	0.2065504011
518	0.2062785223
519	0.2058916935
520	0.2056775926
521	0.2054323126
522	0.2050876496
523	0.2048800571
524	0.2045254144
525	0.2043029132
526	0.2040179232
527	0.2037742786
528	0.2035693403
529	0.2034278579
530	0.2031628437
531	0.2030129903
532	0.2028383949
533	0.2025839649
534	0.202402923
535	0.2019956893
536	0.201761355
537	0.2014996528
538	0.2012543333
539	0.2009160614
540	0.2006979535
541	0.2003095396
542	0.2000821153
543	0.1997599751
544	0.1995203785
545	0.1993086534
546	0.1990272598
547	0.198851876
548	0.1984978101
549	0.1982561426
550	0.1981114792
551	0.1979186305
552	0.1975858381
553	0.1973449791
554	0.1970170749
555	0.1968684654
556	0.1966025793
557	0.196281915
558	0.1960647932
559	0.1958332782
560	0.1955861858
561	0.1953346819
562	0.1950653989
563	0.1948349001
564	0.1945154748
565	0.1944028074
566	0.1941733083
567	0.1939324433
568	0.1937441882
569	0.1934614064
570	0.1932325901
571	0.1930562459
572	0.1927991441
573	0.1926438986
574	0.1924432605
575	0.1922449229
576	0.1919296792
577	0.1917968053
578	0.1916331975
579	0.1914934142
580	0.191222535
581	0.1910261228
582	0.1908657295
583	0.1907155021
584	0.1905587116
585	0.1902404319
586	0.1899390266
587	0.1896837536
588	0.1894739069
589	0.1891215797
590	0.1889281299
591	0.1887285978
592	0.1885334473
593	0.1883312242
594	0.1880327512
595	0.1878714002
596	0.1876496254
597	0.187381078
598	0.1871721529
599	0.1869080511
600	0.1866584476
601	0.1864528093
602	0.1861914307
603	0.1860333018
604	0.1858498596
605	0.1855757477
606	0.1852883119
607	0.1850560052
608	0.1848359344
609	0.1846132634
610	0.1843196116
611	0.1840480955
612	0.1837728431
613	0.1836533636
614	0.1834222027
615	0.1832334141
616	0.183029214
617	0.1826742171
618	0.1824136512
619	0.1822264924
620	0.182084709
621	0.1817846448
622	0.1813969676
623	0.1812141015
624	0.1809788061
625	0.1805856346
626	0.1803992728
627	0.1800589553
628	0.1798098599
629	0.1795553483
630	0.1793961669
631	0.1792069745
632	0.1790699296
633	0.1787254683
634	0.1784811058
635	0.1782736678
636	0.1780156403
637	0.1778426848
638	0.1776395238
639	0.1774045866
640	0.1772111761
641	0.1769216345
642	0.1767220564
643	0.1764658401
644	0.1762158764
645	0.1760183912
646	0.1758241547
647	0.175603427
648	0.1754903905
649	0.1753390792
650	0.1752000589
651	0.1748744991
652	0.1746343968
653	0.1744367241
654	0.1742470747
655	0.1739895347
656	0.1737668654
657	0.1735122319
658	0.1733242832
659	0.1731167369
660	0.1729260388
661	0.1727520936
662	0.1725817559
663	0.1723445945
664	0.1721086029
665	0.1719616747
666	0.1717952406
667	0.1715364875
668	0.1712611107
669	0.1711222859
670	0.1709546159
671	0.1707161151
672	0.1705523931
673	0.1702384204
674	0.1700192501
675	0.1698455338
676	0.1696344691
677	0.1694056876
678	0.1692292291
679	0.1690442918
680	0.1688500625
681	0.1686527685
682	0.1683771715
683	0.1682991656
684	0.1680682068
685	0.1679504495
686	0.1678103427
687	0.1675050515
688	0.1673147128
689	0.1670888226
690	0.166872543
691	0.1667161946
692	0.1666003021
693	0.1664563505
694	0.166274492
695	0.1660542689
696	0.1658875937
697	0.1656006322
698	0.1654075711
699	0.1652406627
700	0.1650249252
701	0.1649342265
702	0.1648557248
703	0.1647643084
704	0.1645835685
705	0.16444793
706	0.1643440512
707	0.1642231384
708	0.1640999543
709	0.1638431726
710	0.163555346
711	0.1633302461
712	0.1632342164
713	0.1631406899
714	0.1629011573
715	0.1627443387
716	0.1625133669
717	0.1622499025
718	0.1621465501
719	0.1619408903
720	0.1617327908
721	0.1614779789
722	0.1613156313
723	0.1611632206
724	0.1608392522
725	0.1605505742
726	0.1604649742
727	0.1602355938
728	0.1599888796
729	0.15983884
730	0.1595407846
731	0.1592309366
732	0.159088287
733	0.1588433388
734	0.1586519168
735	0.1585163044
736	0.1583292908
737	0.1581578577
738	0.1580737213
739	0.157935256
740	0.1578555129
741	0.1576458787
742	0.1575363058
743	0.1572952521
744	0.1570001044
745	0.1568194484
746	0.1566437857
747	0.156351158
748	0.1562514255
749	0.1561454763
750	0.1559712192
751	0.1558793436
752	0.1556884025
753	0.1555743225
754	0.1553287679
755	0.1551581399
756	0.1549778057
757	0.1548345667
758	0.1546119861
759	0.1544650245
760	0.154316333
761	0.1540391624
762	0.1538541416
763	0.1536750681
764	0.1534648423
765	0.1532762719
766	0.1530751848
767	0.1527987755
768	0.1526688441
769	0.1524955303
770	0.1523061472
771	0.1521222361
772	0.1519534347
773	0.1517447756
774	0.1515011786
775	0.151412583
776	0.1511692673
777	0.1510507206
778	0.150809574
779	0.1506566084
780	0.1505142856
781	0.150420695
782	0.1501797525
783	0.1500531372
784	0.1499742742
785	0.1498783656
786	0.1496979807
787	0.1495506103
788	0.1494856648
789	0.1493443818
790	0.149211446
791	0.1490534699
792	0.1487961932
793	0.1485790548
794	0.148347396
795	0.1482043765
796	0.1480258721
797	0.1479871853
798	0.1477566514
799	0.1476684987
800	0.1473893086
801	0.1472079838
802	0.1470330427
803	0.1468560307
804	0.1466551818
805	0.1465441638
806	0.1464205876
807	0.1462083185
808	0.1460501393
809	0.145892116
810	0.1456054491
811	0.1454379317
812	0.1452645782
813	0.1451489025
814	0.1450758998
815	0.1449148122
816	0.1448528709
817	0.1446740222
818	0.1444960286
819	0.1443849422
820	0.144158323
821	0.1439625632
822	0.143828299
823	0.1436079312
824	0.1434015547
825	0.1431871807
826	0.1430787503
827	0.1429444172
828	0.1428568618
829	0.1427389929
830	0.1425806987
831	0.1423433942
832	0.1422754088
833	0.142080025
834	0.1419680101
835	0.1418792749
836	0.1416874452
837	0.1415536184
838	0.1412618653
839	0.1411575528
840	0.1410922886
841	0.1408216687
842	0.1406714805
843	0.1404089014
844	0.1402829383
845	0.1401913298
846	0.1400088486
847	0.1398082145
848	0.1395910279
849	0.1393724238
850	0.1393257451
851	0.1391058357
852	0.1389583333
853	0.1388046787
854	0.1386644745
855	0.1384857386
856	0.1382542091
857	0.1381373798
858	0.1378985552
859	0.1376234414
860	0.1374206462
861	0.1372626658
862	0.1370162638
863	0.1369111066
864	0.1366967296
865	0.1366042485
866	0.1364258899
867	0.1362647902
868	0.1361189958
869	0.1360063945
870	0.1358287669
871	0.1357554871
872	0.135566188
873	0.1353516576
874	0.1351270744
875	0.1349830366
876	0.1347742933
877	0.1345620101
878	0.1344637118
879	0.1343148261
880	0.1341651551
881	0.134037892
882	0.1338637641
883	0.1336898817
884	0.1335037578
885	0.1332714998
886	0.1331782715
887	0.1329930661
888	0.1328505769
889	0.1327278353
890	0.1327016213
891	0.132564201
892	0.1324250173
893	0.1321794106
894	0.1320109269
895	0.1317385108
896	0.1315850125
897	0.1314430139
898	0.1312907598
899	0.1311725795
900	0.1310857377
901	0.130946262
902	0.1308576849
903	0.1307730954
904	0.1307194967
905	0.1306702397
906	0.1306044438
907	0.1304021795
908	0.130245682
909	0.1301132638
910	0.1299547918
911	0.1297591941
912	0.1296120893
913	0.1295085555
914	0.1294365406
915	0.129346465
916	0.1291805243
917	0.1290091095
918	0.1289078843
919	0.1288460036
920	0.12871166
921	0.1285792989
922	0.1284810541
923	0.1283100109
924	0.1281437832
925	0.1280166978
926	0.1279183911
927	0.1277257989
928	0.1276103201
929	0.1273674375
930	0.1271945512
931	0.1270681334
932	0.1269970074
933	0.1267866168
934	0.1266914703
935	0.1265713404
936	0.126468564
937	0.1263109372
938	0.1261636782
939	0.1260101401
940	0.1258867578
941	0.1257414527
942	0.1256268228
943	0.1254738749
944	0.1253580413
945	0.1252896807
946	0.1251300608
947	0.1249261221
948	0.1247651139
949	0.1246311146
950	0.1245408501
951	0.1243334859
952	0.1242200404
953	0.1240798391
954	0.1239399722
955	0.1237878247
956	0.1236203974
957	0.1234191683
958	0.1232617831
959	0.1231373417
960	0.1230031695
961	0.1228553152
962	0.1226821674
963	0.1225771425
964	0.1224448914
965	0.1223085891
966	0.122151532
967	0.1220187844
968	0.1219304513
969	0.1217496176
970	0.1216593764
971	0.1215702808
972	0.1214214046
973	0.1212984193
974	0.1211770985
975	0.1210335696
976	0.1208637559
977	0.1206649389
978	0.1205565577
979	0.1203621571
980	0.1202678267
981	0.1201223407
982	0.1200495017
983	0.1199407012
984	0.1198395863
985	0.1197108041
986	0.1195908335
987	0.1194309841
988	0.119287204
989	0.119216445
990	0.1190523612
991	0.1189296981
992	0.1188005401
993	0.118580504
994	0.118464295
995	0.1182745275
996	0.11817298
997	0.1179913208
998	0.1177842907
999	0.1176995683
